Name,Type,Category,Power,Accuracy,PP,Effect%,Target,Flags,Description
Ice Fang,ICE,Physical,65,95,15,10,Single exc. user,abe,May freeze the target. May make the target flinch.
Ice Punch,ICE,Physical,75,100,15,10,Single exc. user,abej,May freeze the target.
Ice Shard,ICE,Physical,40,100,30,0,Single exc. user,be,Priority level 1.
Icicle Crash,ICE,Physical,85,90,10,30,Single exc. user,be,May make the target flinch.
Icicle Spear,ICE,Physical,25,100,30,0,Single exc. user,be,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Icy Wind,ICE,Special,55,95,15,100,All opposing Pokémon,be,May lower the target’s Speed by 1 stage.
Imprison,PSYCHIC,Status,0,101,10,0,User,dp,Moves that user knows can’t be used or chosen for use by each opposing Pokémon.
Incinerate,FIRE,Special,30,100,15,0,All opposing Pokémon,be,"If successful and target is holding a Berry, that item is consumed."
Inferno,FIRE,Special,100,50,5,100,Single exc. user,be,May burn the target.
Ingrain,GRASS,Status,0,101,20,0,User,d,"User can’t switch out or run, and attacks by other Pokémon and items held by other Pokémon can’t force user to end a wild Pokém..."
Iron Defense,STEEL,Status,0,101,15,0,User,d,Raises user’s Defense by 2 stages.
Iron Head,STEEL,Physical,80,100,15,30,Single exc. user,abe,May make the target flinch.
Iron Tail,STEEL,Physical,100,75,15,30,Single exc. user,abe,May lower the target’s Defense by 1 stage.
Judgment,NORMAL,Special,100,100,10,0,Single exc. user,be,"If user is holding a Plate, this attack’s type depends on the item held."
Jump Kick,FIGHTING,Physical,100,95,10,0,Single exc. user,abel,"If the target avoids this attack, user loses half of its maximum HP."
Karate Chop,FIGHTING,Physical,50,100,25,0,Single exc. user,abe,Good chance for a critical hit.
Kinesis,PSYCHIC,Status,0,80,15,0,Single exc. user,bce,Lowers the target’s accuracy by 1 stage.
Knock Off,DARK,Physical,20,100,20,0,Single exc. user,abe,"If successful, the item target is holding is consumed even if target has zero HP, in most cases."
Last Resort,NORMAL,Physical,140,100,5,0,Single exc. user,abe,"Fails unless user has this move and at least one move other than this move and, for each move it has other than this move, user..."
Lava Plume,FIRE,Special,80,100,15,30,All exc. user,be,May burn the target.
Leaf Blade,GRASS,Physical,90,100,15,0,Single exc. user,abe,Good chance for a critical hit.
Leaf Storm,GRASS,Special,140,90,5,100,Single exc. user,be,Lowers user’s Special Attack by 2 stages if this attack is successful.
Leaf Tornado,GRASS,Special,65,90,10,50,Single exc. user,be,May lower the target’s accuracy by 1 stage.
Leech Life,BUG,Physical,20,100,15,0,Single exc. user,abe,"If target loses HP because of this attack, user gains half that much HP."
Leech Seed,GRASS,Status,0,90,10,0,Single exc. user,bce,"After each turn, if there’s a Pokémon at the position user had when the effect began, target loses 1/8 max. HP, and if target l..."
Leer,NORMAL,Status,0,100,30,0,All opposing Pokémon,bce,Lowers the target’s Defense by 1 stage.
Lick,GHOST,Physical,20,100,30,30,Single exc. user,abe,May paralyze the target.
Light Screen,PSYCHIC,Status,0,101,30,0,User's side,d,"For five turns, special attacks other than critical hits deal reduced damage to Pokémon on the user’s side."
Lock-On,NORMAL,Status,0,101,5,0,Single exc. user,be,"For two turns, attacks by user against target can’t be evaded."
Lovely Kiss,NORMAL,Status,0,75,10,0,Single exc. user,bce,Puts the target to sleep.
Low Kick,FIGHTING,Physical,1,100,20,0,Single exc. user,abe,"Power is 20 if target’s weight is less than 10 kilograms, else 40 if less than 25 kg, else 60 if less than 50 kg, else 80 if le..."
Low Sweep,FIGHTING,Physical,60,100,20,100,Single exc. user,abe,Lowers the target’s Speed by 1 stage.
Lucky Chant,NORMAL,Status,0,101,30,0,User's side,d,"For five turns, no attacks against any Pokémon in battle on user’s side can be critical hits."
Lunar Dance,PSYCHIC,Status,0,101,10,0,User,do,"User faints as part of this attack’s use. The next time there’s a Pokémon at the position user had when it used this attack, it..."
Luster Purge,PSYCHIC,Special,70,100,5,50,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Mach Punch,FIGHTING,Physical,40,100,30,0,Single exc. user,abej,Priority level 1.
Magic Coat,PSYCHIC,Status,0,101,15,0,User,,"Each time this turn, if user is target of an attack with flag ""c"" by other Pokémon and that other Pokémon is the original user..."
Magic Room,PSYCHIC,Status,0,101,10,0,Both sides,e,"Effect lasts for five turns. During effect, effects from items held by Pokémon in battle are not applied. Priority level -7."
Magical Leaf,GRASS,Special,60,101,20,0,Single exc. user,be,
Magma Storm,FIRE,Special,120,75,5,100,Single exc. user,be,"Multi-turn attack. Lasts five or six turns. The target can’t switch out or run, and after each turn except the last, target los..."
Magnet Bomb,STEEL,Physical,60,101,20,0,Single exc. user,be,
Magnet Rise,ELECTRIC,Status,0,101,10,0,User,dl,"For five turns, user gains advantages of Levitate Ability even without that Ability."
Magnitude,GROUND,Physical,1,100,30,0,All exc. user,be,"Power is 10, 30, 50, 70, 90, 110, or 150. If a target is using Dig, this attack’s damage is doubled for that target."
Me First,NORMAL,Status,1,101,20,0,Single opposing Pokémon,bp,"If user strikes before target this turn and the move target chose for use this turn is a damaging move other than Chatter, Coun..."
Mean Look,NORMAL,Status,0,101,5,0,Single exc. user,bce,"During effect, the target can’t switch out or run. During effect, this attack fails against the target."
Meditate,PSYCHIC,Status,0,101,40,0,User,d,Raises user’s Attack by 1 stage.
Mega Drain,GRASS,Special,40,100,15,0,Single exc. user,be,"If target loses HP because of this attack, user gains half that much HP."
Mega Kick,NORMAL,Physical,120,75,5,0,Single exc. user,abe,
Mega Punch,NORMAL,Physical,80,85,20,0,Single exc. user,abej,
Megahorn,BUG,Physical,120,85,10,0,Single exc. user,abe,
Memento,DARK,Status,0,100,10,0,Single exc. user,be,Lowers target’s Attack and Sp. Atk by 2 stages each. The user faints in most cases.
Metal Burst,STEEL,Physical,1,100,10,0,No particular target,be,"If user was damaged by one or more damaging attacks by an opponent this turn, deals X times 1.5 damage to the Pokémon at the po..."
Metal Claw,STEEL,Physical,50,95,35,10,Single exc. user,abe,May raise user’s Attack by 1 stage.
Metal Sound,STEEL,Status,0,85,40,0,Single exc. user,bcek,Lowers the target’s Special Defense by 2 stages.
Meteor Mash,STEEL,Physical,100,85,10,20,Single exc. user,abej,May raise user’s Attack by 1 stage.
Metronome,NORMAL,Status,0,101,10,0,User,,Uses a random move.
Milk Drink,NORMAL,Status,0,101,10,0,User,do,User gains half of its maximum HP.
Mimic,NORMAL,Status,0,101,10,0,Single exc. user,bp,Copies last move used by target. That move replaces this move.
Mind Reader,NORMAL,Status,0,101,5,0,Single exc. user,be,"For two turns, attacks by user against target can’t be evaded."
Minimize,NORMAL,Status,0,101,20,0,User,d,"Raises user’s evasiveness by 2 stages. Until user leaves battle, damage from Stomp and Steamroller attacks by other Pokémon aga..."
Miracle Eye,PSYCHIC,Status,0,101,40,0,Single exc. user,bcep,"If target’s evasiveness stat stage is greater than 0, it is treated as 0 in accuracy checks against target. { Psychic attacks a..."
Mirror Coat,PSYCHIC,Special,1,100,20,0,No particular target,b,"If user was damaged by one or more special attacks by an opponent this turn, deals X times 2 damage to the Pokémon at the posit..."
Mirror Move,FLYING,Status,0,101,20,0,Single exc. user,,"Uses against target the last move target used if it was not prevented from being used, was not used by another move, and has fl..."
Mirror Shot,STEEL,Special,65,85,10,30,Single exc. user,be,May lower the target’s accuracy by 1 stage.
Mist,ICE,Status,0,101,30,0,User's side,d,"For five turns, attacks by others can’t lower stat stages for each Pokémon on the user’s side."
Mist Ball,PSYCHIC,Special,70,100,5,50,Single exc. user,be,May lower the target’s Special Attack by 1 stage.
Moonlight,NORMAL,Status,0,101,5,0,User,do,"User gains 2732/4096 max. HP during Sunny Day; otherwise, user gains 1/4 max. HP during Hail, Rain Dance, or Sandstorm; otherwi..."
Morning Sun,NORMAL,Status,0,101,5,0,User,do,"User gains 2732/4096 max. HP during Sunny Day; otherwise, user gains 1/4 max. HP during Hail, Rain Dance, or Sandstorm; otherwi..."
Mud Bomb,GROUND,Special,65,85,10,30,Single exc. user,be,May lower the target’s accuracy by 1 stage.
Mud Shot,GROUND,Special,55,95,15,100,Single exc. user,be,May lower the target’s Speed by 1 stage.
Mud Sport,GROUND,Status,0,101,15,0,Both sides,,"During effect, power of Electric-type attacks by any Pokémon in battle is multiplied by 1352/4096."
Mud-Slap,GROUND,Special,20,100,10,100,Single exc. user,be,May lower the target’s accuracy by 1 stage.
Muddy Water,WATER,Special,95,85,10,30,All opposing Pokémon,be,May lower the target’s accuracy by 1 stage.
Nasty Plot,DARK,Status,0,101,20,0,User,d,Raises user’s Special Attack by 2 stages.
Natural Gift,NORMAL,Physical,1,100,15,0,Single exc. user,be,This attack’s type and power depend on the Berry user is holding. That item is consumed.
Nature Power,NORMAL,Status,0,101,20,0,No particular target,,"In grass and tall grass, uses Seed Bomb. On water/puddles, uses Hydro Pump. In swamps, uses Mud Bomb. On snow, uses Blizzard. O..."
Needle Arm,GRASS,Physical,60,100,15,30,Single exc. user,abe,May make the target flinch.
Night Daze,DARK,Special,85,95,10,40,Single exc. user,be,May lower the target’s accuracy by 1 stage.
Night Shade,GHOST,Special,1,100,15,0,Single exc. user,be,Deals damage to the target equal to user’s level. Affected by type immunities.
Night Slash,DARK,Physical,70,100,15,0,Single exc. user,abe,Good chance for a critical hit.
Nightmare,GHOST,Status,0,100,15,0,Single exc. user,be,"Fails unless target is asleep. } As long as target remains asleep, target loses 1/4 of its maximum HP after each turn. {"
Octazooka,WATER,Special,65,85,10,50,Single exc. user,be,May lower the target’s accuracy by 1 stage.
Odor Sleuth,NORMAL,Status,0,101,40,0,Single exc. user,bcep,"If target’s evasiveness stat stage is greater than 0, it is treated as 0 in accuracy checks against target. { Normal- and Fight..."
Ominous Wind,GHOST,Special,60,100,5,10,Single exc. user,be,"May raise user’s Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
Outrage,DRAGON,Physical,120,100,10,0,Random opposing Pokémon,abe,"User uses this attack for two or three turns, then becomes confused."
Overheat,FIRE,Special,140,90,5,100,Single exc. user,be,Lowers user’s Special Attack by 2 stages if this attack is successful.
Pain Split,NORMAL,Status,0,101,20,0,Single exc. user,be,"User’s HP and target’s HP become the average of user’s and target’s current HP, and are adjusted so that they don’t exceed thei..."
Pay Day,NORMAL,Physical,40,100,20,0,Single exc. user,be,"In in-game battles, an amount equal to five times the user’s level is added to the money the player earns upon winning."
Payback,DARK,Physical,50,100,10,0,Single exc. user,abe,Power is doubled if user strikes after the target this turn.
Peck,FLYING,Physical,35,100,35,0,Single exc. user,aben,
Perish Song,NORMAL,Status,0,101,5,0,All Pokémon in battle,knp,"Each Pokémon in battle, that isn’t rotated out, without a perish count receives a perish count of 4. After each turn, the peris..."
Petal Dance,GRASS,Special,120,100,10,0,Random opposing Pokémon,abe,"User uses this attack for two or three turns, then becomes confused."
Pin Missile,BUG,Physical,14,85,20,0,Single exc. user,be,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Pluck,FLYING,Physical,60,100,20,0,Single exc. user,aben,"After user uses this attack, if this attack was successful and target is holding a Berry, and if user has at least 1 HP, user u..."
Poison Fang,POISON,Physical,50,100,15,30,Single exc. user,abe,May badly poison the target.
Poison Gas,POISON,Status,0,80,40,0,All opposing Pokémon,bce,Poisons the target.
Poison Jab,POISON,Physical,80,100,20,30,Single exc. user,abe,May poison the target.
Poison Sting,POISON,Physical,15,100,35,30,Single exc. user,be,May poison the target.
Poison Tail,POISON,Physical,50,100,25,10,Single exc. user,abe,Good chance for a critical hit. May poison the target.
PoisonPowder,POISON,Status,0,75,35,0,Single exc. user,bce,Poisons the target.
Pound,NORMAL,Physical,40,100,35,0,Single exc. user,abe,
Powder Snow,ICE,Special,40,100,25,10,All opposing Pokémon,be,May freeze the target.
Power Gem,ROCK,Special,70,100,20,0,Single exc. user,be,
Power Split,PSYCHIC,Status,0,101,10,0,Single exc. user,b,User’s Attack stat and target’s Attack stat become the average of user’s and target’s Attack stats. User’s Sp. Atk stat and tar...
Power Swap,PSYCHIC,Status,0,101,10,0,Single exc. user,bep,"User adopts target’s current Attack and Sp. Atk stat stages, and target adopts user’s current Attack and Sp. Atk stat stages."
Power Trick,PSYCHIC,Status,0,101,10,0,User,d,"Swaps user’s Attack and Defense stats and sets a variable, X, for user to 1 if it’s 0 or to 0 if it’s 1. X is reset to 0 when u..."
Power Whip,GRASS,Physical,120,85,10,0,Single exc. user,abe,
Present,NORMAL,Physical,1,90,15,0,Single exc. user,be,"At random, power is 40, 80, or 120, or target gains 1/4 max. HP and this attack doesn’t deal damage. Ineffective in all cases i..."
Protect,NORMAL,Status,0,101,10,0,User,,User avoids certain attacks by other Pokémon against user this turn. Can fail if used multiple times in a row.
Psybeam,PSYCHIC,Special,65,100,20,10,Single exc. user,be,May confuse the target.
Psych Up,NORMAL,Status,0,101,10,0,Single exc. user,p,User adopts all of the target’s current stat stages.
Psychic,PSYCHIC,Special,90,100,10,10,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Psycho Boost,PSYCHIC,Special,140,90,5,100,Single exc. user,be,Lowers user’s Special Attack by 2 stages if this attack is successful.
Psycho Cut,PSYCHIC,Physical,70,100,20,0,Single exc. user,be,Good chance for a critical hit.
Psycho Shift,PSYCHIC,Status,0,90,10,0,Single exc. user,be,"If user has statuses, target gains that condition. If target gains that condition this way, user stops having that condition."
Psyshock,PSYCHIC,Special,80,100,10,0,Single exc. user,be,"The target’s Defense stat, target’s Defense stat stage, and other effects that modify target’s Defense stat are used in damage..."
Psystrike,PSYCHIC,Special,100,100,10,0,Single exc. user,be,"The target’s Defense stat, target’s Defense stat stage, and other effects that modify target’s Defense stat are used in damage..."
Psywave,PSYCHIC,Special,1,80,15,0,Single exc. user,be,Deals damage to target ranging from 50% to 150% of the user’s level.
Punishment,DARK,Physical,1,100,5,0,Single exc. user,abe,"Power is 60+, or 200, whichever is less, where X is the total of all of the target’s current stat stages that are greater than 0."
Pursuit,DARK,Physical,40,100,20,0,Single exc. user,abe,"When an adjacent opposing Pokémon switches out, if user chose this move for use and didn’t take its attack segment or use this..."
Quash,DARK,Status,0,100,15,0,Single exc. user,be,"The target takes its attack segment after all other Pokémon this turn, regardless of its attack’s priority level."
Quick Attack,NORMAL,Physical,40,100,30,0,Single exc. user,abe,Priority level 1.
Quick Guard,FIGHTING,Status,0,101,15,0,User's side,d,Each Pokémon in battle on user’s side that isn’t rotated out avoids attacks against it whose original priority level is greater...
Quiver Dance,BUG,Status,0,101,20,0,User,d,"Raises user’s Special Attack, Special Defense, and Speed by 1 stage."
Rage,NORMAL,Physical,20,100,20,0,Single exc. user,abe,"After using this attack, damage the user takes raises its Attack until it doesn’t choose this move."
Rage Powder,BUG,Status,0,101,20,0,User,,"If an opponent uses an attack with a range of ""single Pokémon except user"", ""single opposing Pokémon"", or ""opposing Pokémon cho..."
Rain Dance,WATER,Status,0,101,5,0,Both sides,,"Weather. For five turns, damage from Water-type attacks is multiplied by 1.5, and damage from Fire-type attacks is halved."
Rapid Spin,NORMAL,Physical,20,100,40,0,Single exc. user,abe,"After this attack is used, if this attack was successful and user has at least 1 HP, effects of multi-turn attacks and Leech Se..."
Razor Leaf,GRASS,Physical,55,95,25,0,All opposing Pokémon,be,Good chance for a critical hit.
Razor Shell,WATER,Physical,75,95,10,50,Single exc. user,abe,May lower the target’s Defense by 1 stage.
Razor Wind,NORMAL,Special,80,100,10,0,All opposing Pokémon,beh,Good chance for a critical hit.
Recover,NORMAL,Status,0,101,10,0,User,do,User gains half of its maximum HP.
Recycle,NORMAL,Status,0,101,10,0,User,d,"If user isn’t holding an item, user receives the last item consumed by user and that item is reset."
Reflect,PSYCHIC,Status,0,101,20,0,User's side,d,"For five turns, physical attacks deal less damage against each Pokémon on the user’s side."
Reflect Type,NORMAL,Status,0,101,15,0,Single exc. user,bp,User’s types become those of the target.
Refresh,NORMAL,Status,0,101,20,0,User,d,"User is cured of burns, poison, and paralysis."
Relic Song,NORMAL,Special,75,100,10,10,All opposing Pokémon,bek,"May put target to sleep. After this attack is used, if user is Meloetta, and if this attack was successful against at least one..."
Rest,PSYCHIC,Status,0,101,10,0,User,do,"User gains all HP; user sleeps with a sleep count of 3, even if user is poisoned, burned, paralyzed, frozen, or asleep."
Retaliate,NORMAL,Physical,70,100,5,0,Single exc. user,abe,Power is doubled if a Pokémon fainted on the previous turn while it was in battle on the user’s side.
Return,NORMAL,Physical,1,100,20,0,Single exc. user,abe,"This attack’s power equals int((User’s friendship)*2/5) or 1, whichever is greater."
Revenge,FIGHTING,Physical,60,100,10,0,Single exc. user,abe,Power is doubled if user was damaged by an attack by the target this turn. Priority level -4.
Reversal,FIGHTING,Physical,1,100,15,0,Single exc. user,abe,"The less HP the user has, the greater this attack’s power."
Roar,NORMAL,Status,0,100,20,0,Single exc. user,bcekp,"In wild Pokémon battles, the battle ends. In Trainer battles, replaces the target with another Pokémon."
Roar of Time,DRAGON,Special,150,90,5,0,Single exc. user,bei,
Rock Blast,ROCK,Physical,25,90,10,0,Single exc. user,be,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Rock Climb,NORMAL,Physical,90,85,20,20,Single exc. user,abe,May confuse the target.
Rock Polish,ROCK,Status,0,101,20,0,User,d,Raises user’s Speed by 2 stages.
Rock Slide,ROCK,Physical,75,90,10,30,All opposing Pokémon,be,May make the target flinch.
Rock Smash,FIGHTING,Physical,40,100,15,50,Single exc. user,abe,May lower the target’s Defense by 1 stage.
Rock Throw,ROCK,Physical,50,90,15,0,Single exc. user,be,
Rock Tomb,ROCK,Physical,50,80,10,100,Single exc. user,be,May lower the target’s Speed by 1 stage.
Rock Wrecker,ROCK,Physical,150,90,5,0,Single exc. user,bei,
Role Play,PSYCHIC,Status,0,101,10,0,Single exc. user,p,Changes user’s Ability to that of the target.
Rolling Kick,FIGHTING,Physical,60,85,15,30,Single exc. user,abe,May make the target flinch.
Rollout,ROCK,Physical,30,90,20,0,Single exc. user,abe,"User uses this attack for up to five turns, and its power doubles each time it’s successful until it stops."
Roost,FLYING,Status,0,101,10,0,User,do,"User gains half max. HP. If user gains HP this way, until the end of the turn and until user leaves battle, effects treat user’..."
Round,NORMAL,Special,60,100,15,0,Single exc. user,bek,"If this attack is used, other Pokémon in battle that strike after user and chose this move for use this turn take their attack..."
Sacred Fire,FIRE,Physical,100,95,5,50,Single exc. user,bem,May burn the target.
Sacred Sword,FIGHTING,Physical,90,100,20,0,Single exc. user,abe,This attack ignores the target’s stat stages (both in accuracy checks and damage calculation).
Safeguard,NORMAL,Status,0,101,25,0,User's side,d,"For five turns, each Pokémon on the user’s side is protected from status problems caused by other Pokémon."
Sand Tomb,GROUND,Physical,35,85,15,100,Single exc. user,be,"Multi-turn attack. Lasts five or six turns. The target can’t switch out or run, and after each turn except the last, target los..."
Sand-Attack,GROUND,Status,0,100,15,0,Single exc. user,bce,Lowers the target’s accuracy by 1 stage.
Sandstorm,ROCK,Status,0,101,10,0,Both sides,,"Weather. Lasts for five turns. { After each turn except the last, each Pokémon in battle that isn’t rotated out, except Ground,..."
Scald,WATER,Special,80,100,15,30,Single exc. user,bem,May burn the target.
Scary Face,NORMAL,Status,0,100,10,0,Single exc. user,bce,Lowers the target’s Speed by 2 stages.
Scratch,NORMAL,Physical,40,100,35,0,Single exc. user,abe,
Screech,NORMAL,Status,0,85,40,0,Single exc. user,bcek,Lowers the target’s Defense by 2 stages.
Searing Shot,FIRE,Special,100,100,5,30,All exc. user,be,May burn the target.
Secret Power,NORMAL,Physical,70,100,20,30,Single exc. user,be,May cause an additional effect depending on terrain.
Secret Sword,FIGHTING,Special,85,100,10,0,Single exc. user,be,"The target’s Defense stat, target’s Defense stat stage, and other effects that modify target’s Defense stat are used in damage..."
Seed Bomb,GRASS,Physical,80,100,15,0,Single exc. user,be,
Seed Flare,GRASS,Special,120,85,5,40,Single exc. user,be,May lower the target’s Special Defense by 2 stages.
Seismic Toss,FIGHTING,Physical,1,100,20,0,Single exc. user,abe,Deals damage to the target equal to user’s level. Affected by type immunities.
Selfdestruct,NORMAL,Physical,200,100,5,0,All exc. user,be,"User faints as part of this attack’s use, after damage calculation."
Shadow Ball,GHOST,Special,80,100,15,20,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Shadow Claw,GHOST,Physical,70,100,15,0,Single exc. user,abe,Good chance for a critical hit.
Shadow Force,GHOST,Physical,120,100,5,0,Single exc. user,aeh,"While using, user is unaffected by attacks. Ignores effect of Protect and Detect by target and stops that effect."
Shadow Punch,GHOST,Physical,60,101,20,0,Single exc. user,abej,
Shadow Sneak,GHOST,Physical,40,100,30,0,Single exc. user,abe,Priority level 1.
Sharpen,NORMAL,Status,0,101,30,0,User,d,Raises user’s Attack by 1 stage.
Sheer Cold,ICE,Special,1,30,5,0,Single exc. user,be,One-hit KO. Ineffective if target’s level is higher than the user’s level.
Shell Smash,NORMAL,Status,0,101,15,0,User,d,"Lowers user’s Defense and Special Defense by 1 stage each and raises user’s Attack, Special Attack, and Speed by 2 stages each."
Shift Gear,STEEL,Status,0,101,10,0,User,d,Raises user’s Speed by 2 stages and its Attack by 1 stage.
Shock Wave,ELECTRIC,Special,60,101,20,0,Single exc. user,be,
Signal Beam,BUG,Special,75,100,15,10,Single exc. user,be,May confuse the target.
Silver Wind,BUG,Special,60,100,5,10,Single exc. user,be,"May raise user’s Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
Simple Beam,NORMAL,Status,0,100,15,0,Single exc. user,bce,The target’s Ability becomes Simple.
Sing,NORMAL,Status,0,55,15,0,Single exc. user,bcek,Puts the target to sleep.
Sketch,NORMAL,Status,0,101,1,0,Single exc. user,p,Permanently copies the last move used by target.
Skill Swap,PSYCHIC,Status,0,101,10,0,Single exc. user,bep,"Simultaneously, user adopts the target’s Ability, and the target adopts user’s Ability."
Skull Bash,NORMAL,Physical,100,100,15,100,Single exc. user,abeh,"On first attack segment of use, raises user’s Defense by 1 stage."
Sky Attack,FLYING,Physical,140,90,5,30,Single exc. user,behn,Good chance for a critical hit. May make the target flinch.
Sky Drop,FLYING,Physical,60,100,10,0,Single exc. user,abehln,"While using, user is unaffected by most attacks; target is unaffected by such attacks until target leaves battle; this attack f..."
Sky Uppercut,FIGHTING,Physical,85,90,15,0,Single exc. user,abej,"Can hit the target even if it is using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop."
Slack Off,NORMAL,Status,0,101,10,0,User,do,User gains half of its maximum HP.
Slam,NORMAL,Physical,80,75,20,0,Single exc. user,abe,
Slash,NORMAL,Physical,70,100,20,0,Single exc. user,abe,Good chance for a critical hit.
Sleep Powder,GRASS,Status,0,75,15,0,Single exc. user,bce,Puts the target to sleep.
Sleep Talk,NORMAL,Status,0,101,10,0,User,,"Uses one of user’s moves, at random. No PP is spent for the move used."
Sludge,POISON,Special,65,100,20,30,Single exc. user,be,May poison the target.
Sludge Bomb,POISON,Special,90,100,10,30,Single exc. user,be,May poison the target.
Sludge Wave,POISON,Special,95,100,10,10,All exc. user,be,May poison the target.
Smack Down,ROCK,Physical,50,100,15,100,Single exc. user,be,"If successful, ends target’s Bounce, Fly, Magnet Rise, and Telekinesis and target loses advantages of Flying type and Levitate."
SmellingSalt,NORMAL,Physical,60,100,10,0,Single exc. user,abe,"If the target is paralyzed, power is doubled and, if this attack is successful, the target is cured of paralysis."
Smog,POISON,Special,20,70,20,40,Single exc. user,be,May poison the target.
SmokeScreen,NORMAL,Status,0,100,20,0,Single exc. user,bce,Lowers the target’s accuracy by 1 stage.
Snarl,DARK,Special,55,95,15,100,All opposing Pokémon,bek,May lower the target’s Special Attack by 1 stage.
Snatch,DARK,Status,0,101,10,0,User,p,"The next time this turn, if a Pokémon in battle other than user uses an attack with flag ""d"" and that attack wasn’t used by ano..."
Snore,NORMAL,Special,40,100,15,30,Single exc. user,bek,May make the target flinch. Fails unless user is asleep.
Soak,WATER,Status,0,100,20,0,Single exc. user,bce,The target’s type becomes Water.
Softboiled,NORMAL,Status,0,101,10,0,User,do,User gains half of its maximum HP.
SolarBeam,GRASS,Special,120,100,10,0,Single exc. user,beh,"Power is halved during Hail, Rain Dance, and Sandstorm. During Sunny Day, this attack takes one attack segment."
SonicBoom,NORMAL,Special,1,90,20,0,Single exc. user,be,Deals 20 damage to the target. Affected by type immunities.
Spacial Rend,DRAGON,Special,100,95,5,0,Single exc. user,be,Good chance for a critical hit.
Spark,ELECTRIC,Physical,65,100,20,30,Single exc. user,abe,May paralyze the target.
Spider Web,BUG,Status,0,101,10,0,Single exc. user,bce,"During effect, the target can’t switch out or run. During effect, this attack fails against the target."
Spike Cannon,NORMAL,Physical,20,100,15,0,Single exc. user,be,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Spikes,GROUND,Status,0,101,20,0,Opposing Pokémon's side,c,"Can be used up to three times. If an opponent enters battle, that Pokémon, in most cases, loses HP: 1/8 max. HP for one use; 1/..."
Spit Up,NORMAL,Special,1,100,10,0,Single exc. user,b,"Power is 100 times user’s Stockpile count. As part of this attack’s use, after any damage calculation, resets user’s Stockpile..."
Spite,GHOST,Status,0,100,10,0,Single exc. user,bcep,Lowers PP of last move used by the target by 4.
Splash,NORMAL,Status,0,101,40,0,User,l,Does nothing.
Spore,GRASS,Status,0,100,15,0,Single exc. user,bce,Puts the target to sleep.
Stealth Rock,ROCK,Status,0,101,20,0,Opposing Pokémon's side,c,"Hurts opposing Pokémon as they enter battle, depending on the Rock type’s type matchup against them."
Steamroller,BUG,Physical,65,100,20,30,Single exc. user,abe,May make the target flinch. Damage is doubled if Minimize is in effect for the target.
Steel Wing,STEEL,Physical,70,90,25,10,Single exc. user,abe,May raise user’s Defense by 1 stage.
Stockpile,NORMAL,Status,0,101,20,0,User,d,"Raises user’s Stockpile count by 1, and raises user’s Defense and Sp. Def by 1 stage. The Stockpile count is reset when user le..."
Stomp,NORMAL,Physical,65,100,20,30,Single exc. user,abe,May make the target flinch. Damage is doubled if Minimize is in effect for the target.
Stone Edge,ROCK,Physical,100,80,5,0,Single exc. user,be,Good chance for a critical hit.
Stored Power,PSYCHIC,Special,20,100,10,0,Single exc. user,be,This attack’s power rises by 20 times the total of all of the user’s current stat stages that are greater than 0.
Storm Throw,FIGHTING,Physical,40,100,10,0,Single exc. user,abe,Always causes a critical hit unless an effect prevents it from causing critical hits.
Strength,NORMAL,Physical,80,100,15,0,Single exc. user,abe,
String Shot,BUG,Status,0,95,40,0,All opposing Pokémon,bce,Lowers the target’s Speed by 1 stage.
Struggle,NORMAL,Physical,50,101,1,0,Single exc. user,ab,"This attack has no type. If successful, user loses 1/4 of its maximum HP."
Struggle Bug,BUG,Special,30,100,20,100,All opposing Pokémon,be,May lower the target’s Special Attack by 1 stage.
Stun Spore,GRASS,Status,0,75,30,0,Single exc. user,bce,Paralyzes the target.
Submission,FIGHTING,Physical,80,80,25,0,Single exc. user,abe,"If target loses HP because of this attack, user loses 1/4 that much HP."
Substitute,NORMAL,Status,0,101,10,0,User,d,Creates a substitute using 1/4 of user’s maximum HP.
Sucker Punch,DARK,Physical,80,100,5,0,Single exc. user,abe,"Fails if the move target chose for use this turn is not a damaging move, or if target struck before user this turn. Priority le..."
Sunny Day,FIRE,Status,0,101,5,0,Both sides,,"Weather. For five turns, damage from Fire attacks is multiplied by 1.5, and damage from Water attacks is halved. Effects can’t..."
Super Fang,NORMAL,Physical,1,90,10,0,Single exc. user,abe,Deals damage to the target equal to half of the target’s current HP. Affected by type immunities.
Superpower,FIGHTING,Physical,120,100,5,100,Single exc. user,abe,Lowers user’s Attack and Defense by 1 stage if this attack is successful.
Supersonic,NORMAL,Status,0,55,20,0,Single exc. user,bcek,Confuses the target.
Surf,WATER,Special,95,100,15,0,All exc. user,be,Damage is doubled if the target is using Dive.
