Name,Type,Power,Accuracy,PP,Effect%,Target,Flags,Description
Scary Face,NORMAL,0,90,10,0,Single exc. user,bce,Lowers the target’s Speed by 2 stages.
Scratch,NORMAL,40,100,35,0,Single exc. user,abef,
Screech,NORMAL,0,85,40,0,Single exc. user,bce,Lowers the target’s Defense by 2 stages.
Secret Power,NORMAL,70,100,20,30,Single exc. user,be,"In tall grass, may poison target. In very tall grass, may put target to sleep. In caves or on ice, may make target flinch. on r..."
Seismic Toss,FIGHTING,1,100,20,0,Single exc. user,abef,Deals damage to the target equal to user’s level. Affected by type immunities.
Selfdestruct,NORMAL,200,100,5,0,All exc. user,bef,User faints as part of this attack’s use. Treats the target’s Defense as halved.
Shadow Ball,GHOST,80,100,15,20,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Shadow Punch,GHOST,60,0,20,0,Single exc. user,abef,Can’t be evaded.
Sharpen,NORMAL,0,0,30,0,User,d,Raises user’s Attack by 1 stage.
Sheer Cold,ICE,1,30,5,0,Single exc. user,be,One-hit KO. Deals damage to target equal to target’s current HP. Ineffective if target’s level is greater than user’s level. Wh...
Shock Wave,ELECTRIC,60,0,20,0,Single exc. user,bef,Can’t be evaded.
Signal Beam,BUG,75,100,15,10,Single exc. user,bef,May confuse the target.
Silver Wind,BUG,60,100,5,10,Single exc. user,bef,"May raise user’s Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
Sing,NORMAL,0,55,15,0,Single exc. user,bce,Puts the target to sleep.
Sketch,NORMAL,0,0,1,0,Single exc. user,,Permanently copies the last move used by the target. That move replaces this move even after the battle ends.
Skill Swap,PSYCHIC,0,100,10,0,Single exc. user,be,"Simultaneously, user adopts the target’s ability, and the target adopts user’s ability."
Skull Bash,NORMAL,100,100,15,0,Single exc. user,abef,"Two-turn attack. On first attack segment of use, raises user’s Defense by 1 stage."
Sky Attack,FLYING,140,90,5,30,Single exc. user,bef,Two-turn attack. Good chance for a critical hit. May make the target flinch.
Sky Uppercut,FIGHTING,85,90,15,0,Single exc. user,abef,Can hit the target even if it’s using Fly or Bounce.
Slack Off,NORMAL,0,100,10,0,User,d,User gains half of its maximum HP. Does nothing if user’s HP is full.
Slam,NORMAL,80,75,20,0,Single exc. user,abef,
Slash,NORMAL,70,100,20,0,Single exc. user,abef,Good chance for a critical hit.
Sleep Powder,GRASS,0,75,15,0,Single exc. user,bce,Puts the target to sleep.
Sleep Talk,NORMAL,0,0,10,0,No particular target,,"Uses one of the user’s moves, at random. Fails unless user is asleep."
Sludge,POISON,65,100,20,30,Single exc. user,be,May poison the target.
Sludge Bomb,POISON,90,100,10,30,Single exc. user,be,May poison the target.
SmellingSalt,NORMAL,60,100,10,0,Single exc. user,abe,"If the target is paralyzed, damage is doubled and, if this attack is successful, the target is cured of paralysis."
Smog,POISON,20,70,20,40,Single exc. user,be,May poison the target.
SmokeScreen,NORMAL,0,100,20,0,Single exc. user,bce,Lowers the target’s accuracy by 1 stage.
Snatch,DARK,0,100,10,0,No particular target,e,"The next time this turn, if a Pokémon in battle other than user uses an attack with flag ""d"", instead this attack’s user uses t..."
Snore,NORMAL,40,100,15,30,Single exc. user,bef,May make the target flinch. Fails unless user is asleep.
Softboiled,NORMAL,0,100,10,0,User,de,User gains half of its maximum HP. Does nothing if user’s HP is full.
SolarBeam,GRASS,120,100,10,0,Single exc. user,bef,"Two-turn attack.Damage is halved during Hail, Rain Dance, and Sandstorm. During Sunny Day, this attack takes one attack segment."
SonicBoom,NORMAL,1,90,20,0,Single exc. user,bef,Deals 20 damage to the target. Affected by type immunities.
Spark,ELECTRIC,65,100,20,30,Single exc. user,abe,May paralyze the target.
Spider Web,BUG,0,100,10,0,Single exc. user,bce,"During effect, the target can’t switch out or run. During effect, this attack fails against the target."
Spike Cannon,NORMAL,20,100,15,0,Single exc. user,bef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Spikes,GROUND,0,0,20,0,Opposing Pokémon's side,,Can be used up to three times. Opposing Pokémon that enter battle lose HP unless they are a Flying type or have Levitate.
Spit Up,NORMAL,100,100,10,0,Single exc. user,bf,"Damage is multiplied by user’s Stockpile count. Can’t cause a critical hit, and damage variance is not performed. Unless this a..."
Spite,GHOST,0,100,10,0,Single exc. user,be,Lowers PP of last move used by the target by 2 to 5.
Splash,NORMAL,0,0,40,0,User,,Does nothing.
Spore,GRASS,0,100,15,0,Single exc. user,bce,Puts the target to sleep.
Steel Wing,STEEL,70,90,25,10,Single exc. user,abef,May raise user’s Defense by 1 stage.
Stockpile,NORMAL,0,0,10,0,User,d,Raises user’s Stockpile count by 1. The Stockpile count is reset when user leaves the battle.
Stomp,NORMAL,65,100,20,30,Single exc. user,abe,May make the target flinch. Damage is doubled if Minimize is in effect for the target.
Strength,NORMAL,80,100,15,0,Single exc. user,abef,
String Shot,BUG,0,95,40,0,All opposing Pokémon,bce,Lowers the target’s Speed by 1 stage.
Struggle,NORMAL,50,100,1,0,Single exc. user,abef,"If successful, user loses 1/4 of HP lost by target because of this attack. This attack’s damage isn’t affected by the target’s or user’s types. (This effect doesn’t change this attack’s type.)"
Stun Spore,GRASS,0,75,30,0,Single exc. user,bce,Paralyzes the target. Affected by type immunities.
Submission,FIGHTING,80,80,25,0,Single exc. user,abef,"If successful, user loses 1/4 of HP lost by target because of this attack."
Substitute,NORMAL,0,0,10,0,User,d,Creates a substitute using 1/4 of user’s maximum HP. More information.
Sunny Day,FIRE,0,0,5,0,User,,"Weather. For five turns, damage from Fire attacks is multiplied by 1.5, and damage from Water attacks is halved. Effects can’t..."
Super Fang,NORMAL,1,90,10,0,Single exc. user,abe,Deals damage to the target equal to half of the target’s current HP. Affected by type immunities.
Superpower,FIGHTING,120,100,5,0,Single exc. user,abe,Lowers user’s Attack and Defense by 1 stage if this attack is successful.
Supersonic,NORMAL,0,55,20,0,Single exc. user,bce,Confuses the target.
Surf,WATER,95,100,15,0,All opposing Pokémon,bef,"If the target is using Dive, this attack’s power is doubled."
Swagger,NORMAL,0,90,15,100,Single exc. user,bce,Raises the target’s Attack by 2 stages and confuses the target.
Swallow,NORMAL,0,0,10,0,User,d,User gains HP according to user’s Stockpile count: 1/4 max. HP if it’s 1; half max. HP if it’s 2; and all HP if it’s 3. User’s...
Sweet Kiss,NORMAL,0,75,10,0,Single exc. user,bce,Confuses the target.
Sweet Scent,NORMAL,0,100,20,0,All opposing Pokémon,bce,Lowers the target’s evasiveness by 1 stage.
Swift,NORMAL,60,0,20,0,All opposing Pokémon,bef,Can’t be evaded.
Swords Dance,NORMAL,0,0,30,0,User,d,Raises user’s Attack by 2 stages.
Synthesis,GRASS,0,0,5,0,User,d,"User gains 2/3 max. HP during Sunny Day; 1/4 max. HP during Hail, Rain Dance, or Sandstorm; 1/2 max. HP otherwise. If user woul..."
Tackle,NORMAL,35,95,35,0,Single exc. user,abef,
Tail Glow,BUG,0,100,20,0,User,d,Raises user’s Special Attack by 2 stages.
Tail Whip,NORMAL,0,100,30,0,All opposing Pokémon,bce,Lowers the target’s Defense by 1 stage.
Take Down,NORMAL,90,85,20,0,Single exc. user,abef,"If successful, user loses 1/4 of HP lost by target because of this attack."
Taunt,DARK,0,100,20,0,Single exc. user,b,"Until the end of the next turn, non-damaging moves can’t be used or chosen for use by the target."
Teeter Dance,NORMAL,0,100,20,0,All exc. user,b,Confuses the target.
Teleport,PSYCHIC,0,0,20,0,User,,User runs from the wild Pokémon battle. Fails if battle is a Trainer battle.
Thief,DARK,40,100,10,100,Single exc. user,abe,"If this attack is successful, user receives the target’s held item if user is not holding any items."
Thrash,NORMAL,90,100,20,100,Random opposing Pokémon,abef,Lasts two or three turns. User uses this attack during each of its attack segments and can’t take any other action. When effect...
Thunder,ELECTRIC,120,70,10,30,Single exc. user,be,"May paralyze target. During Rain Dance, can’t be evaded. Otherwise, during Sunny Day, accuracy is 50. Can hit target even if it..."
Thunder Wave,ELECTRIC,0,100,20,0,Single exc. user,bce,Paralyzes the target. Affected by type immunities.
ThunderPunch,ELECTRIC,75,100,15,10,Single exc. user,abe,May paralyze the target.
ThunderShock,ELECTRIC,40,100,30,10,Single exc. user,be,May paralyze the target.
Thunderbolt,ELECTRIC,95,100,15,10,Single exc. user,be,May paralyze the target.
Tickle,NORMAL,0,100,20,0,Single exc. user,bcef,Lowers the target’s Attack and Defense by 1 stage.
Torment,DARK,0,100,15,0,Single exc. user,be,"During effect, the target can’t choose for use the last move it used. Effect ends when the target leaves the battle."
Toxic,POISON,0,85,10,100,Single exc. user,bce,Badly poisons the target.
Transform,NORMAL,0,0,10,0,Single exc. user,,"User’s stats, types, moves, ability, and more are copied from the target."
Tri Attack,NORMAL,80,100,10,20,Single exc. user,be,"May either burn, freeze, or paralyze the target."
Trick,PSYCHIC,0,100,10,0,Single exc. user,be,"Simultaneously, user receives the target’s item, and the target receives user’s item."
Triple Kick,FIGHTING,10,90,10,0,Single exc. user,abef,Hits three times. Stops if a miss is caused. This attack’s power is multiplied by 2 for the second hit and by 3 for the third hit.
Twineedle,BUG,25,100,20,20,Single exc. user,be,Attacks twice in a row. May poison the target. (Additional effect occurs after all hits of the attack have resolved.)
Twister,DRAGON,40,100,20,20,All opposing Pokémon,bef,May make the target flinch. Power is doubled if the target is using Fly or Bounce.
Uproar,NORMAL,50,100,10,100,Random opposing Pokémon,bef,"For two to five turns, user uses this attack during each of its attack segments and can’t take any other action. No Pokémon can..."
ViceGrip,NORMAL,55,100,30,0,Single exc. user,abef,
Vine Whip,GRASS,35,100,10,0,Single exc. user,abef,
Vital Throw,FIGHTING,70,100,10,0,Single exc. user,abef,Can’t be evaded. Priority level -1.
Volt Tackle,ELECTRIC,120,100,15,0,Single exc. user,abef,"If successful, user loses 1/3 of HP lost by target because of this attack."
Water Gun,WATER,40,100,25,0,Single exc. user,bef,
Water Pulse,WATER,60,100,20,20,Single exc. user,bef,May confuse the target.
Water Sport,WATER,0,100,15,0,User,,"During effect, power of Fire-type attacks by any Pokémon in battle is halved."
Water Spout,WATER,150,100,5,0,All opposing Pokémon,be,"This attack’s power equals int(user’s current HP * 150 / user’s maximum HP) or 1, whichever is greater."
Waterfall,WATER,80,100,15,0,Single exc. user,abef,
Weather Ball,NORMAL,50,100,10,0,Single exc. user,bef,"This attack’s damage is doubled during weather. During Sunny Day, this attack’s type is Fire. During Rain Dance, this attack’s..."
Whirlpool,WATER,15,70,15,100,Single exc. user,bef,"Multi-turn attack. For three to six turns, the target can’t switch out or run, and after each turn except the last, target lose... Power is doubled if the target is using Dive."
Whirlwind,NORMAL,0,100,20,0,Single exc. user,be,"Ends wild Pokémon battles. In Trainer battles, replaces target with a random unfainted non-Egg Pokémon not in battle with the s..."
Will-O-Wisp,FIRE,0,75,15,0,Single exc. user,bce,Burns the target.
Wing Attack,FLYING,60,100,35,0,Single exc. user,abef,
Wish,NORMAL,0,100,10,0,User,b,"After the next turn, if there’s a Pokémon at user’s position, that Pokémon gains half max. HP. Effect remains even if user leav..."
Withdraw,WATER,0,0,40,0,User,d,Raises user’s Defense by 1 stage.
Wrap,NORMAL,15,85,20,100,Single exc. user,abef,"Multi-turn attack. For three to six turns, the target can’t switch out or run, and after each turn except the last, target lose..."
Yawn,NORMAL,0,100,10,0,Single exc. user,bce,"After the next turn, if target has no statuses and remains in battle since this effect began, target sleeps. ()"
Zap Cannon,ELECTRIC,100,50,5,100,Single exc. user,be,May paralyze the target.
