NUMBER,NAME,TYPE1,TYPE2,ABIILITY1,ABILITY2,HIDDEN_ABILITY,WEIGHT_KG,CATCH_RATE,BASE_HAPPINESS,HP,ATK,DEF,SPATK,SPDEF,SPD,EXP_CURVE,BASE_EXP,HP EV,ATK EV,DEF EV,SPATK EV,SPDEF EV,SPD EV
217,URSARING,NORMAL,,,,,125.8,60,70,90,130,75,75,75,55,MEDIUM_FAST,189,90,130,75,75,75,55
218,SLUGMA,FIRE,,,,,35,190,70,40,40,40,70,40,20,MEDIUM_FAST,78,40,40,40,70,40,20
219,MAGCARGO,FIRE,ROCK,,,,55,75,70,50,50,120,80,80,30,MEDIUM_FAST,154,50,50,120,80,80,30
220,SWINUB,ICE,GROUND,,,,6.5,225,70,50,50,40,30,30,50,SLOW,78,50,50,40,30,30,50
221,PILOSWINE,ICE,GROUND,,,,55.8,75,70,100,100,80,60,60,50,SLOW,160,100,100,80,60,60,50
222,CORSOLA,WATER,ROCK,,,,5,60,70,55,55,85,65,85,35,FAST,113,55,55,85,65,85,35
223,REMORAID,WATER,,,,,12,190,70,35,65,35,65,35,65,MEDIUM_FAST,78,35,65,35,65,35,65
224,OCTILLERY,WATER,,,,,28.5,75,70,75,105,75,105,75,45,MEDIUM_FAST,164,75,105,75,105,75,45
225,DELIBIRD,ICE,FLYING,,,,16,45,70,45,55,45,65,45,75,FAST,183,45,55,45,65,45,75
226,MANTINE,WATER,FLYING,,,,220,25,70,65,40,70,80,140,70,SLOW,168,65,40,70,80,140,70
227,SKARMORY,STEEL,FLYING,,,,50.5,25,70,65,80,140,40,70,70,SLOW,168,65,80,140,40,70,70
228,HOUNDOUR,DARK,FIRE,,,,10.8,120,35,45,60,30,80,50,65,SLOW,114,45,60,30,80,50,65
229,HOUNDOOM,DARK,FIRE,,,,35,45,35,75,90,50,110,80,95,SLOW,204,75,90,50,110,80,95
230,KINGDRA,WATER,DRAGON,,,,152,45,70,75,95,95,95,95,85,MEDIUM_FAST,207,75,95,95,95,95,85
231,PHANPY,GROUND,,,,,33.5,120,70,90,60,60,40,40,40,MEDIUM_FAST,124,90,60,60,40,40,40
232,DONPHAN,GROUND,,,,,120,60,70,90,120,120,60,60,50,MEDIUM_FAST,189,90,120,120,60,60,50
233,PORYGON2,NORMAL,,,,,32.5,45,70,85,80,90,105,95,60,MEDIUM_FAST,180,85,80,90,105,95,60
234,STANTLER,NORMAL,,,,,71.2,45,70,73,95,62,85,65,85,SLOW,165,73,95,62,85,65,85
235,SMEARGLE,NORMAL,,,,,58,45,70,55,20,35,20,45,75,FAST,106,55,20,35,20,45,75
236,TYROGUE,FIGHTING,,,,,21,75,70,35,35,35,35,35,35,MEDIUM_FAST,91,35,35,35,35,35,35
237,HITMONTOP,FIGHTING,,,,,48,45,70,50,95,95,35,110,70,MEDIUM_FAST,138,50,95,95,35,110,70
238,SMOOCHUM,ICE,PSYCHIC,,,,6,45,70,45,30,15,85,65,65,MEDIUM_FAST,87,45,30,15,85,65,65
239,ELEKID,ELECTRIC,,,,,23.5,45,70,45,63,37,65,55,95,MEDIUM_FAST,106,45,63,37,65,55,95
240,MAGBY,FIRE,,,,,21.4,45,70,45,75,37,70,55,83,MEDIUM_FAST,117,45,75,37,70,55,83
241,MILTANK,NORMAL,,,,,75.5,45,70,95,80,105,40,70,100,SLOW,200,95,80,105,40,70,100
242,BLISSEY,NORMAL,,,,,46.8,30,140,255,10,10,75,135,55,FAST,255,255,10,10,75,135,55
243,RAIKOU,ELECTRIC,,,,,178,3,35,90,85,75,115,100,115,SLOW,216,90,85,75,115,100,115
244,ENTEI,FIRE,,,,,198,3,35,115,115,85,90,75,100,SLOW,217,115,115,85,90,75,100
245,SUICUNE,WATER,,,,,187,3,35,100,75,115,90,115,85,SLOW,215,100,75,115,90,115,85
246,LARVITAR,ROCK,GROUND,,,,72,45,35,50,64,50,45,50,41,SLOW,67,50,64,50,45,50,41
247,PUPITAR,ROCK,GROUND,,,,152,45,35,70,84,70,65,70,51,SLOW,144,70,84,70,65,70,51
248,TYRANITAR,ROCK,DARK,,,,202,45,35,100,134,110,95,100,61,SLOW,218,100,134,110,95,100,61
249,LUGIA,PSYCHIC,FLYING,,,,216,3,0,106,90,130,90,154,110,SLOW,220,106,90,130,90,154,110
250,HO-OH,FIRE,FLYING,,,,199,3,0,106,130,90,110,154,90,SLOW,220,106,130,90,110,154,90
251,CELEBI,PSYCHIC,GRASS,,,,5,45,100,100,100,100,100,100,100,MEDIUM_SLOW,64,100,100,100,100,100,100
